insurance_type,postal_code,address,city,province,country,unit_apt,name,date_of_birth,move_in_year,occupants,active_home_insurance,ever_insured,num_claims,num_cancellations,multiline_discount,has_monitored_fire_alarm,has_deadbolt_locks,has_monitored_burglar_alarm,has_sprinkler_system,occupants_non_smokers,num_fire_extinguishers,num_mortgages,email,phone,nearest_firehall,nearest_firehydrant,primary_heating,cancellation_month,cancellation_year,claim_month_zero,claim_year_zero,claim_type_zero,claim_month_one,claim_year_one,claim_type_one
H,L9B 6J3,40171 King Roads Suite 069,Evansville,ON,CANADA,,Donald Morrison,2007-05-16,2021,2,FALSE,TRUE,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,2,bigballs@gmail.com,2897308160,5,300,water,1,2022,9,2022,Liability Claim,6,2024,Fire Claim
H,L9N 9C2,44766 White Valleys Apt. 679,Garzaside,ON,CANADA,722,Troy Barnes,1970-01-19,2020,1,FALSE,TRUE,2,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2,1,bigballs@gmail.com,7818397978,13,150,wood,1,2022,3,2022,Personal Property Claim,8,2023,Wind/Hail Claim
H,N6R7Y4,840 Fry Street Apt. 835,Port Saraside,ON,CANADA,,Roberto Johnson,2004-10-18,2024,2,FALSE,TRUE,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,1,bigballs@gmail.com,8554654009,13,300,unknown,1,2022,7,2021,Wind/Hail Claim,4,2022,Sewer Backup Claim
H,L1G 7X6,535 Rhodes Mount,Barreraton,ON,CANADA,702,Scott Anderson,1955-06-29,2012,1,FALSE,TRUE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,2,bigballs@gmail.com,8554654009,13,301,unknown,1,2022,5,2024,Wind/Hail Claim,5,2022,Sewer Backup Claim
H,P5L 9M6,33878 Williams Lock Suite 735,Davidborough,ON,CANADA,,Robert Sullivan,1973-09-23,2018,2,FALSE,FALSE,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,bigballs@gmail.com,8554654009,13,301,oil,1,2022,11,2021,Fire Claim,8,2024,Other Type of Claim
H,N3H7R6,6202 Gary Roads,Lake Laurastad,ON,CANADA,,Richard Lawson,1969-10-14,2017,3,FALSE,FALSE,2,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,bigballs@gmail.com,7818397978,13,301,radiant,1,2022,1,2024,Wind/Hail Claim,3,2022,Liability Claim
H,N7R 8L9,907 Andrea Station Apt. 000,West Lori,ON,CANADA,881,Gregory Davis,2001-06-03,2021,1,FALSE,TRUE,2,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2,0,bigballs@gmail.com,8554654009,8,150,water,1,2022,6,2023,Fire Claim,7,2022,Personal Property Claim
H,N3E 4T4,5631 Keith Pike Apt. 350,West Ryanside,ON,CANADA,,Richard Morrow,1991-03-30,2016,1,FALSE,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,bigballs@gmail.com,2897308160,16,150,unknown,1,2022,12,2024,Personal Property Claim,3,2023,Personal Property Claim
H,M2H 6C8,36732 Paul Hill,West Sarah,ON,CANADA,54,Angela Rivera,1970-03-05,2014,3,FALSE,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,bigballs@gmail.com,7818397978,16,300,unknown,1,2022,9,2021,Wind/Hail Claim,7,2022,Sewer Backup Claim
H,K7M 6A5,53246 Clark Crossing Apt. 062,North Kara,ON,CANADA,215,Jason Roach,2002-04-04,2019,3,FALSE,FALSE,2,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,2,bigballs@gmail.com,8554654009,5,300,naturalgas,1,2022,3,2024,Fire Claim,8,2022,Personal Property Claim
H,L8A5R8,576 Walker Passage,West Matthewside,ON,CANADA,656,Sharon Pena,1988-10-22,2009,3,FALSE,TRUE,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,bigballs@gmail.com,7818397978,16,300,naturalgas,1,2022,3,2022,Other Type of Claim,10,2025,Other Type of Claim
H,K3G8B6,81896 Jordan Heights,West Danny,ON,CANADA,271,Sharon Anderson,2002-09-17,2011,1,FALSE,TRUE,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,2,bigballs@gmail.com,7818397978,5,301,naturalgas,1,2022,12,2021,Other Type of Claim,9,2024,Personal Property Claim
H,K5J7P5,72987 Kenneth Keys Suite 108,Brianfurt,ON,CANADA,897,Deborah Richards,1956-08-31,2021,1,FALSE,TRUE,2,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,bigballs@gmail.com,8554654009,16,150,geothermal,1,2022,6,2022,Wind/Hail Claim,11,2022,Other Type of Claim
H,P1S4J9,306 Darrell Extension,North Daniel,ON,CANADA,,Nicolas Allison,1994-10-01,2009,1,FALSE,FALSE,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,2,bigballs@gmail.com,7818397978,16,301,none,1,2022,6,2022,Personal Property Claim,3,2022,Fire Claim
H,M7J6R8,23388 Ford Route,New David,ON,CANADA,863,Jason Barnes,1973-07-11,2019,3,FALSE,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,bigballs@gmail.com,7818397978,16,150,wood,1,2022,3,2025,Sewer Backup Claim,3,2024,Liability Claim
H,N9T6G5,42434 Ryan Stream,North Julie,ON,CANADA,16,Erik Davenport,1963-08-17,2009,3,FALSE,TRUE,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,2,bigballs@gmail.com,7818397978,13,150,geothermal,1,2022,11,2021,Fire Claim,7,2025,Water Damage Claim
H,M6L8G2,2349 Calhoun Grove Apt. 328,Seanton,ON,CANADA,425,Kenneth Jones,1945-04-26,2016,2,FALSE,FALSE,2,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,2,bigballs@gmail.com,7818397978,8,300,geothermal,1,2022,4,2021,Fire Claim,1,2022,Wind/Hail Claim
H,N2T2E1,5716 Fritz Harbors,Saraborough,ON,CANADA,90,Jennifer Hernandez,1993-09-22,2018,2,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2,2,bigballs@gmail.com,7818397978,16,150,wood,1,2022,1,2021,Other Type of Claim,4,2021,Personal Property Claim
H,M6K5A7,41564 Samuel Forest Suite 969,West Debra,ON,CANADA,,Robert Romero,1950-09-22,2016,3,FALSE,TRUE,2,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2,0,bigballs@gmail.com,7818397978,13,301,oil,1,2022,1,2022,Liability Claim,12,2025,Other Type of Claim
H,N6J3V5,134 Davis Causeway Apt. 515,West Amandaport,ON,CANADA,,Travis Pierce MD,1970-02-11,2020,2,FALSE,FALSE,2,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,bigballs@gmail.com,2897308160,8,300,geothermal,1,2022,10,2021,Other Type of Claim,12,2022,Sewer Backup Claim
H,M7X 5H6,393 Stacy Causeway,West Michael,ON,CANADA,797,Matthew Ball,1969-10-16,2011,2,FALSE,TRUE,1,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,1,bigballs@gmail.com,8554654009,13,301,none,1,2022,2,2025,Water Damage Claim,6,2023,Fire Claim
