insurance_type,postal_code,address,city,province,country,unit_apt,name,date_of_birth,move_in_year,occupants,active_home_insurance,ever_insured,num_claims,num_cancellations,multiline_discount,has_monitored_fire_alarm,has_deadbolt_locks,has_monitored_burglar_alarm,has_sprinkler_system,occupants_non_smokers,num_fire_extinguishers,num_mortgages,email,phone,nearest_firehall,nearest_firehydrant,primary_heating,cancellation_month,cancellation_year,claim_month_zero,claim_year_zero,claim_type_zero,claim_month_one,claim_year_one,claim_type_one
H,M9P 3W3,52 Yorkleigh Ave,Etobicoke,ON,CANADA,,Donald Morrison,2007-05-16,2021,2,FALSE,TRUE,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,2,bigballs@gmail.com,2897308160,5,300,water,1,2022,9,2022,Liability Claim,6,2024,Fire Claim
H,M9P 3W3,55 Yorkleigh Ave,Etobicoke,ON,CANADA,722,Troy Barnes,1970-01-19,2020,1,FALSE,TRUE,2,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2,1,bigballs@gmail.com,7818397978,13,150,wood,1,2022,3,2022,Personal Property Claim,8,2023,Wind/Hail Claim
H,M9N 3V9,13 Maple Bush Ave,North York,ON,CANADA,,Roberto Johnson,2004-10-18,2024,2,FALSE,TRUE,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,0,bigballs@gmail.com,8554654009,13,300,unknown,1,2022,7,2021,Wind/Hail Claim,4,2022,Sewer Backup Claim
H,M9W 1J1,1034 Martin Grove Rd,Etobicoke,ON,CANADA,702,Scott Anderson,1955-06-29,2012,1,FALSE,TRUE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,2,bigballs@gmail.com,8554654009,13,301,unknown,1,2022,5,2024,Wind/Hail Claim,5,2022,Sewer Backup Claim
H,M9W 1Z3,51 Redwater Dr,Etobicoke,ON,CANADA,,Robert Sullivan,1973-09-23,2018,2,FALSE,FALSE,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,bigballs@gmail.com,8554654009,13,301,oil,1,2022,11,2021,Fire Claim,8,2024,Other Type of Claim
H,M9C 2N9,63 Garbutt Cres,Etobicoke,ON,CANADA,,Richard Lawson,1969-10-14,2017,3,FALSE,FALSE,2,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,bigballs@gmail.com,7818397978,13,301,radiant,1,2022,1,2024,Wind/Hail Claim,3,2022,Liability Claim
H,M9C 4S5,34 Eringate Dr,Etobicoke,ON,CANADA,881,Gregory Davis,2001-06-03,2021,1,FALSE,TRUE,2,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2,2,bigballs@gmail.com,8554654009,8,150,water,1,2022,6,2023,Fire Claim,7,2022,Personal Property Claim
H,M9W 3Z7,47 Barrhead Cres,Etobicoke,ON,CANADA,,Richard Morrow,1991-03-30,2016,1,FALSE,FALSE,2,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,2,bigballs@gmail.com,2897308160,16,150,unknown,1,2022,12,2024,Personal Property Claim,3,2023,Personal Property Claim
H,,7 Foxcote Cres,Etobicoke,ON,CANADA,54,Angela Rivera,1970-03-05,2014,3,FALSE,TRUE,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,bigballs@gmail.com,7818397978,16,300,unknown,1,2022,9,2021,Wind/Hail Claim,7,2022,Sewer Backup Claim
H,,81 Rangoon Rd,Etobicoke,ON,CANADA,215,Jason Roach,2002-04-04,2019,3,FALSE,FALSE,2,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,1,bigballs@gmail.com,8554654009,5,300,naturalgas,1,2022,3,2024,Fire Claim,8,2022,Personal Property Claim
H,M9W 1R9,61 Mancroft Cres,Etobicoke,ON,CANADA,656,Sharon Pena,1988-10-22,2009,3,FALSE,TRUE,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,bigballs@gmail.com,7818397978,16,300,naturalgas,1,2022,3,2022,Other Type of Claim,10,2025,Other Type of Claim
H,M9W 5B1,105 City View Dr,Etobicoke,ON,CANADA,271,Sharon Anderson,2002-09-17,2011,1,FALSE,TRUE,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,1,bigballs@gmail.com,7818397978,5,301,naturalgas,1,2022,12,2021,Other Type of Claim,9,2024,Personal Property Claim
H,M9C 4S5,18 Eringate Dr,Etobicoke,ON,CANADA,897,Deborah Richards,1956-08-31,2021,1,FALSE,TRUE,2,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2,bigballs@gmail.com,8554654009,16,150,geothermal,1,2022,6,2022,Wind/Hail Claim,11,2022,Other Type of Claim
H,M9N 3V9,13 Weston Downs Ave,North York,ON,CANADA,,Nicolas Allison,1994-10-01,2009,1,FALSE,FALSE,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,2,bigballs@gmail.com,7818397978,16,301,none,1,2022,6,2022,Personal Property Claim,3,2022,Fire Claim
H,M9W 1Y4,110 Rexdale Blvd,Etobicoke,ON,CANADA,863,Jason Barnes,1973-07-11,2019,3,FALSE,TRUE,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,1,bigballs@gmail.com,7818397978,16,150,wood,1,2022,3,2025,Sewer Backup Claim,3,2024,Liability Claim
H,M9C 4R3,10 Rangoon Rd,Etobicoke,ON,CANADA,16,Erik Davenport,1963-08-17,2009,3,FALSE,TRUE,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,bigballs@gmail.com,7818397978,13,150,geothermal,1,2022,11,2021,Fire Claim,7,2025,Water Damage Claim
H,M9R 2K5,74 Sabrina Dr,Etobicoke,ON,CANADA,425,Kenneth Jones,1945-04-26,2016,2,FALSE,FALSE,2,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,2,bigballs@gmail.com,7818397978,8,300,geothermal,1,2022,4,2021,Fire Claim,1,2022,Wind/Hail Claim
